id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web
1767,192,Visa,Debit,4.32406E+15,feb-20,358,YES,1,"$18,641",feb-20,2020,No
745,640,Visa,Debit,4.85264E+15,may-23,995,YES,1,"$26,019",ene-20,2020,No
1459,1679,Mastercard,Debit,5.65638E+15,ene-21,547,YES,1,"$25,845",feb-20,2020,No
138,1094,Visa,Debit,4.55693E+15,jun-23,64,YES,2,"$2,365",ene-07,2009,No
3755,1094,Mastercard,Debit,5.51578E+15,jun-23,419,YES,2,"$18,684",jul-06,2017,No
1768,1094,Visa,Credit,4.50839E+15,feb-21,364,NO,2,"$7,400",feb-20,2020,No
5924,1590,Mastercard,Debit,5.54827E+15,dic-24,145,YES,2,"$4,147",dic-08,2016,No
6074,1660,Visa,Debit (Prepaid),4.98627E+15,abr-22,385,YES,1,$76,dic-12,2012,No
5923,1660,Discover,Credit,6.72606E+15,ene-09,105,NO,1,"$4,700",dic-08,2014,No
4223,1660,Visa,Credit,4.15711E+15,jun-21,433,YES,2,"$5,800",ago-07,2011,No
4455,1660,Mastercard,Debit,5.23146E+15,mar-24,754,YES,2,"$12,082",ago-16,2016,No
3234,1660,Mastercard,Credit,5.07484E+15,mar-23,741,NO,2,"$6,000",jun-02,2010,No
1005,1660,Visa,Debit,4.98637E+15,nov-09,367,YES,1,$620,feb-02,2014,No
151,1747,Mastercard,Debit,5.89201E+15,ago-22,879,YES,1,"$14,499",ene-08,2008,No
4198,1747,Mastercard,Debit,5.17916E+15,jul-23,457,YES,2,"$12,332",ago-07,2009,No
4403,1747,Mastercard,Debit,5.56964E+15,sep-24,904,YES,1,"$18,424",ago-13,2013,No
4120,1747,Visa,Credit,4.70891E+15,jul-23,149,NO,1,"$15,400",ago-03,2008,No
4224,1747,Visa,Debit,4.79572E+15,feb-22,136,YES,2,"$14,548",ago-07,2013,No
4895,1747,Mastercard,Credit,5.30016E+15,dic-16,740,YES,2,"$10,100",sep-16,2016,No
1028,153,Discover,Credit,6.58024E+15,abr-11,416,YES,1,"$11,200",feb-04,2008,No
5956,153,Mastercard,Debit,5.03246E+15,oct-24,240,YES,2,"$20,291",dic-09,2011,No
107,153,Visa,Debit,4.38232E+15,ago-18,852,YES,1,"$32,092",ene-06,2010,No
440,153,Mastercard,Debit,5.45681E+15,feb-20,217,YES,1,"$20,463",ene-20,2020,No
746,429,Visa,Debit,4.46536E+15,ago-22,738,YES,1,"$15,802",ene-20,2020,No
1769,429,Visa,Debit,4.66845E+15,feb-20,314,NO,2,"$4,612",feb-20,2020,No
421,429,Discover,Credit,6.3776E+15,jul-20,675,YES,2,"$19,900",ene-20,2020,No
974,511,Mastercard,Debit (Prepaid),5.11709E+15,oct-20,42,YES,1,$73,feb-00,2012,No
4707,511,Mastercard,Debit,5.37786E+15,ene-24,24,YES,1,"$11,858",sep-09,2010,No
7,511,Mastercard,Debit,5.58524E+15,mar-05,749,YES,1,"$9,664",ene-98,2011,No
2212,511,Mastercard,Debit,5.35528E+15,jun-20,810,YES,1,"$8,367",mar-09,2009,No
1038,511,Visa,Credit,4.15009E+15,jun-22,135,YES,2,"$6,100",feb-04,2009,No
1460,309,Mastercard,Debit,5.9793E+15,feb-20,630,YES,3,"$9,944",feb-20,2020,No
747,309,Visa,Credit,4.47364E+15,ene-20,771,YES,1,"$7,900",ene-20,2020,No
1770,309,Visa,Credit,4.80012E+15,dic-20,201,YES,1,"$5,600",feb-20,2020,No
748,777,Visa,Debit,4.83233E+15,ago-23,580,YES,1,"$68,400",ene-20,2020,No
441,777,Mastercard,Debit,5.27808E+15,abr-23,437,YES,2,"$77,237",ene-20,2020,No
3679,1946,Visa,Debit,4.86985E+15,ago-24,701,YES,2,"$4,488",jul-02,2015,No
5701,1946,Visa,Credit,4.23153E+15,feb-20,499,YES,2,"$12,500",nov-14,2014,No
4510,1674,Mastercard,Debit,5.81361E+15,dic-20,734,YES,2,"$23,432",sep-01,2008,No
2873,1674,Amex,Credit,3.66521E+14,may-22,447,YES,2,"$8,800",may-05,2011,No
1461,482,Mastercard,Credit,5.3927E+15,feb-20,886,YES,2,"$12,100",feb-20,2020,No
442,877,Mastercard,Debit,5.04815E+15,feb-20,931,YES,1,"$9,708",ene-20,2020,No
3877,877,Amex,Credit,3.71643E+14,nov-21,683,YES,2,"$12,000",jul-09,2011,No
2296,877,Mastercard,Debit,5.70073E+15,nov-23,230,YES,1,"$11,973",mar-12,2012,No
5048,128,Mastercard,Debit,5.38944E+15,feb-22,658,YES,2,"$13,601",oct-06,2014,No
1462,128,Mastercard,Credit,5.07912E+15,ene-24,849,YES,2,"$7,800",feb-20,2020,No
4269,775,Visa,Debit,4.39043E+15,oct-23,790,YES,2,"$17,816",ago-08,2016,No
5188,1536,Mastercard,Debit,5.21757E+15,mar-21,625,NO,2,"$17,707",oct-10,2010,No
2874,1536,Amex,Credit,3.97857E+14,nov-20,2,YES,1,"$9,500",may-05,2009,No
3041,140,Mastercard,Debit,5.52918E+15,ene-22,182,YES,1,"$19,110",may-10,2011,No
5312,140,Mastercard,Debit,5.48902E+15,ago-23,196,YES,1,"$13,428",oct-16,2016,No
4150,140,Mastercard,Debit,5.79368E+15,jun-22,43,YES,1,"$24,608",ago-05,2009,No
152,140,Mastercard,Debit,5.84537E+15,sep-22,111,YES,1,"$13,441",ene-08,2011,No
443,1884,Mastercard,Debit (Prepaid),5.75029E+15,feb-20,788,YES,2,$74,ene-20,2020,No
3377,1874,Mastercard,Debit,5.42979E+15,oct-12,674,YES,1,"$17,872",jun-08,2008,No
5789,1874,Mastercard,Credit,5.30111E+15,sep-22,425,YES,1,"$12,900",dic-03,2010,No
2106,1874,Mastercard,Debit,5.5711E+15,may-24,52,YES,2,"$25,264",mar-06,2020,No
2078,1874,Mastercard,Debit,5.40195E+15,dic-22,920,YES,2,"$20,634",mar-05,2007,No
5866,1310,Visa,Credit,4.29536E+15,abr-07,656,YES,2,"$12,200",dic-06,2010,No
173,1310,Visa,Credit,4.73748E+15,feb-10,221,YES,2,"$5,500",ene-08,2008,No
1771,1689,Visa,Credit,4.50937E+15,mar-20,281,NO,2,"$6,600",feb-20,2020,No
6132,1689,Mastercard,Debit,5.06826E+15,nov-20,890,YES,1,"$25,815",dic-17,2017,No
327,379,Amex,Credit,3.54813E+14,jun-21,527,YES,2,"$8,400",ene-14,2014,No
2019,379,Mastercard,Debit,5.91093E+15,feb-20,525,YES,1,"$21,628",mar-01,2008,No
3881,379,Mastercard,Debit,5.40018E+15,oct-21,412,YES,1,"$24,232",jul-09,2009,No
1166,34,Mastercard,Debit,5.03905E+15,nov-23,339,YES,2,"$10,775",feb-09,2010,No
3342,34,Mastercard,Debit (Prepaid),5.67201E+15,feb-20,598,YES,2,$105,jun-07,2013,No
5622,822,Visa,Credit,4.33673E+15,ene-21,221,NO,2,"$7,100",nov-10,2010,No
5424,822,Mastercard,Debit,5.98558E+15,jul-24,951,YES,1,"$29,351",nov-05,2007,No
2558,822,Mastercard,Debit,5.28106E+15,mar-20,835,YES,2,"$15,125",abr-08,2012,No
5385,822,Mastercard,Credit,5.61566E+15,nov-21,865,YES,2,"$8,000",nov-03,2008,No
5596,822,Mastercard,Debit (Prepaid),5.31488E+15,may-11,994,YES,1,$83,nov-10,2010,No
3991,1499,Amex,Credit,3.11095E+14,ene-24,536,YES,2,"$23,700",jul-12,2012,No
6126,1780,Visa,Credit,4.62475E+15,feb-24,986,YES,2,$700,dic-16,2016,No
3756,1806,Mastercard,Debit,5.59556E+15,jul-24,594,YES,2,"$7,488",jul-06,2016,No
971,811,Visa,Credit,4.17102E+15,ene-02,225,NO,1,"$24,900",feb-99,2010,No
2079,811,Mastercard,Debit,5.24634E+15,jun-21,638,YES,2,"$30,971",mar-05,2020,No
387,811,Amex,Credit,3.99966E+14,ene-24,343,YES,1,"$24,400",ene-20,2020,No
444,811,Mastercard,Debit,5.06414E+15,feb-20,599,YES,2,"$53,549",ene-20,2020,No
5277,811,Visa,Debit,4.90554E+15,sep-18,573,YES,1,"$53,036",oct-13,2013,No
4358,811,Mastercard,Debit,5.70385E+15,dic-24,300,YES,1,"$35,750",ago-11,2011,No
2318,811,Visa,Debit,4.0554E+15,jul-21,902,YES,1,"$33,375",mar-13,2013,No
6019,1844,Visa,Debit (Prepaid),4.58748E+15,jul-23,858,YES,2,$22,dic-10,2010,No
4421,1844,Discover,Credit,6.52143E+15,nov-20,608,YES,1,"$13,100",ago-14,2014,No
3702,1844,Visa,Debit,4.19971E+15,oct-24,440,YES,1,"$16,516",jul-03,2011,No
2854,1844,Mastercard,Credit,5.17274E+15,jul-16,906,YES,1,"$15,700",may-04,2011,No
4114,1844,Mastercard,Debit,5.21464E+15,may-24,474,YES,1,"$21,058",ago-03,2007,No
28,1852,Visa,Debit,4.01388E+15,oct-23,543,YES,2,"$36,425",ene-02,2004,No
6127,1852,Visa,Debit (Prepaid),4.96605E+15,mar-21,585,YES,2,$91,dic-16,2016,No
2477,1852,Mastercard,Credit,5.24758E+15,sep-21,379,YES,1,"$13,400",abr-05,2014,No
2632,1852,Mastercard,Credit,5.91132E+15,abr-21,37,YES,2,"$21,600",abr-10,2010,No
1463,1231,Mastercard,Debit,5.05877E+15,feb-20,12,NO,1,"$9,090",feb-20,2020,No
5679,970,Visa,Debit,4.68288E+15,feb-23,846,NO,1,"$25,942",nov-12,2012,No
1012,970,Mastercard,Credit,5.88284E+15,jul-19,614,YES,2,"$10,700",feb-03,2013,No
1464,970,Mastercard,Credit,5.63715E+15,jul-22,630,YES,2,"$4,900",feb-20,2020,No
1465,381,Mastercard,Credit,5.1157E+15,abr-22,587,NO,1,"$18,100",feb-20,2020,No
388,1134,Amex,Credit,3.2464E+14,mar-24,659,YES,2,"$7,200",ene-20,2020,No
3708,1296,Mastercard,Debit,5.03343E+15,feb-20,546,YES,2,"$22,660",jul-04,2007,No
3087,1296,Discover,Credit,6.96995E+15,dic-22,588,YES,1,"$19,800",may-11,2011,No
67,1296,Mastercard,Credit,5.18123E+15,nov-24,820,YES,2,"$15,500",ene-05,2014,No
80,1296,Visa,Debit (Prepaid),4.31069E+15,jun-23,458,YES,1,$13,ene-05,2008,No
3665,1296,Mastercard,Debit,5.05107E+15,jun-21,526,YES,2,"$4,317",jul-01,2011,No
2014,1880,Mastercard,Debit,5.45692E+15,dic-21,553,NO,1,"$14,719",mar-00,2008,No
4906,1880,Mastercard,Debit,5.13266E+15,may-21,593,YES,1,"$9,532",sep-17,2017,No
3757,1880,Mastercard,Credit,5.75287E+15,mar-20,486,YES,1,"$10,900",jul-06,2014,No
5365,322,Mastercard,Credit,5.49423E+15,sep-24,428,YES,2,"$6,200",nov-01,2012,No
5425,322,Mastercard,Debit,5.78964E+15,dic-12,43,YES,2,"$2,903",nov-05,2011,No
5758,322,Mastercard,Debit,5.39296E+15,oct-20,803,YES,2,"$4,355",dic-99,2010,No
5482,461,Mastercard,Debit,5.18282E+15,abr-21,126,YES,1,"$28,963",nov-07,2012,No
3172,461,Mastercard,Debit,5.10235E+15,dic-22,667,YES,2,"$20,913",may-16,2016,No
1209,461,Mastercard,Debit,5.03314E+15,jul-24,170,YES,1,"$23,344",feb-10,2010,No
5313,461,Mastercard,Debit,5.61152E+15,ene-20,882,YES,2,"$33,642",oct-16,2016,No
4762,1165,Mastercard,Debit,5.0374E+15,ene-22,681,YES,1,"$14,695",sep-10,2011,No
126,1448,Mastercard,Credit,5.57136E+15,sep-23,510,YES,1,"$13,200",ene-07,2015,No
4685,1448,Visa,Debit,4.08303E+15,ene-20,173,YES,1,"$29,950",sep-08,2013,No
5907,1448,Visa,Credit,4.82992E+15,jul-24,768,YES,2,"$4,600",dic-07,2011,No
2428,1288,Mastercard,Debit,5.45849E+15,dic-22,92,YES,1,"$10,051",abr-02,2011,No
1013,1288,Mastercard,Debit,5.87909E+15,dic-15,729,YES,2,"$9,796",feb-03,2013,No
5145,1178,Mastercard,Debit,5.76944E+15,oct-21,957,YES,1,"$17,826",oct-09,2009,No
5854,1178,Mastercard,Debit,5.5888E+15,nov-24,778,YES,1,"$19,086",dic-06,2009,No
5296,1178,Visa,Debit,4.41069E+15,jun-24,265,YES,2,"$17,345",oct-14,2014,No
1327,1178,Visa,Debit,4.47082E+15,sep-20,923,YES,2,"$17,976",feb-13,2013,No
383,1178,Visa,Debit,4.80434E+15,ene-22,279,YES,2,"$16,447",ene-19,2019,No
5129,1391,Visa,Debit,4.19436E+15,oct-24,271,YES,2,"$29,573",oct-08,2009,No
5995,1391,Mastercard,Debit (Prepaid),5.43647E+15,dic-21,48,YES,2,$98,dic-10,2010,No
4107,1391,Mastercard,Debit,5.64887E+15,ago-19,71,YES,2,"$2,559",ago-02,2012,No
36,1391,Mastercard,Debit,5.91424E+15,oct-12,436,YES,2,"$6,552",ene-03,2010,No
445,838,Mastercard,Credit,5.19378E+15,ene-21,591,YES,2,"$13,800",ene-20,2020,No
1466,54,Mastercard,Debit,5.95793E+15,ago-20,746,YES,1,"$16,375",feb-20,2020,No
749,54,Visa,Debit,4.55706E+15,may-23,780,YES,1,"$14,213",ene-20,2020,No
1772,54,Visa,Debit (Prepaid),4.88322E+15,sep-20,2,YES,1,$73,feb-20,2020,No
3801,1452,Mastercard,Debit,5.47641E+15,nov-22,688,YES,2,"$53,466",jul-07,2013,No
282,1602,Visa,Credit,4.69894E+15,sep-20,450,YES,1,"$6,600",ene-11,2013,No
6105,1602,Mastercard,Credit,5.57915E+15,jun-22,806,NO,2,"$7,200",dic-15,2015,No
446,1938,Mastercard,Debit,5.09961E+15,nov-20,856,YES,1,"$2,868",ene-20,2020,No
422,1938,Discover,Credit,6.1775E+15,may-24,97,YES,1,"$3,400",ene-20,2020,No
5231,1492,Mastercard,Debit,5.18813E+15,ene-22,446,YES,1,"$12,915",oct-11,2013,No
2615,1492,Visa,Debit (Prepaid),4.86032E+15,dic-23,366,YES,2,$84,abr-09,2017,No
2776,1492,Discover,Credit,6.4176E+15,jul-21,504,YES,2,"$17,600",abr-18,2018,No
5452,1492,Mastercard,Debit,5.51672E+15,dic-12,621,YES,1,"$31,542",nov-06,2009,No
3563,1492,Mastercard,Debit,5.89105E+15,feb-22,362,YES,2,"$23,049",jun-13,2013,No
6134,1492,Visa,Debit,4.22257E+15,may-20,141,YES,1,"$29,734",dic-17,2017,No
4818,1492,Visa,Credit,4.45374E+15,ene-20,346,YES,2,"$27,000",sep-11,2016,No
2171,1492,Mastercard,Debit (Prepaid),5.33598E+15,nov-22,320,YES,1,$18,mar-08,2010,No
6106,688,Mastercard,Debit,5.70815E+15,abr-23,824,YES,1,"$17,848",dic-15,2015,No
3042,688,Mastercard,Debit,5.23868E+15,nov-22,870,NO,1,"$25,563",may-10,2010,No
5209,688,Visa,Credit,4.74088E+15,abr-20,168,YES,2,"$12,000",oct-10,2010,No
1296,688,Amex,Credit,3.61649E+14,nov-18,709,NO,2,"$6,600",feb-12,2012,No
389,749,Amex,Credit,3.63306E+14,sep-23,943,NO,1,"$5,600",ene-20,2020,No
1773,749,Visa,Debit,4.36086E+15,nov-22,428,YES,3,"$11,873",feb-20,2020,No
1467,749,Mastercard,Credit,5.49802E+15,feb-20,871,YES,1,"$7,200",feb-20,2020,No
1395,643,Amex,Credit,3.81573E+14,ago-24,145,YES,1,"$10,000",feb-20,2020,No
5597,643,Mastercard,Credit,5.0793E+15,abr-23,381,YES,2,$500,nov-10,2010,No
1468,1219,Mastercard,Debit,5.547E+15,feb-20,718,YES,1,"$22,697",feb-20,2020,No
2309,1219,Mastercard,Credit,5.32603E+15,ago-23,437,YES,1,"$18,000",mar-13,2013,No
3466,1219,Mastercard,Debit,5.09615E+15,oct-24,862,YES,1,"$32,903",jun-10,2010,No
2804,1198,Visa,Debit,4.48987E+15,ago-21,547,YES,2,"$12,764",may-99,2010,No
1388,1198,Mastercard,Credit,5.62173E+15,oct-22,60,YES,1,"$6,300",feb-19,2019,No
4660,898,Mastercard,Debit,5.92314E+15,feb-22,934,YES,2,"$7,541",sep-08,2013,No
3356,898,Visa,Debit,4.44799E+15,mar-22,995,YES,2,"$1,266",jun-07,2012,No
4870,898,Mastercard,Credit,5.00031E+15,abr-20,263,NO,1,"$9,500",sep-14,2014,No
3467,882,Mastercard,Debit,5.70731E+15,abr-20,203,YES,2,"$1,837",jun-10,2010,No
1079,882,Mastercard,Debit,5.86499E+15,ago-23,258,YES,2,"$17,453",feb-06,2008,No
2977,348,Visa,Debit,4.22889E+15,oct-13,543,NO,1,"$28,283",may-08,2012,No
3073,348,Visa,Credit,4.21024E+15,abr-20,160,YES,1,"$13,500",may-10,2012,No
3554,348,Visa,Credit,4.87707E+15,jul-14,786,YES,2,"$13,300",jun-12,2012,No
2597,633,Mastercard,Debit,5.55804E+15,sep-21,69,YES,2,"$17,941",abr-09,2009,No
3489,1493,Visa,Credit,4.6425E+15,abr-18,594,YES,1,"$14,400",jun-10,2012,No
4003,1493,Visa,Credit,4.2444E+15,abr-20,120,YES,1,"$4,400",jul-12,2012,No
1469,1493,Mastercard,Credit,5.15744E+15,mar-20,657,YES,1,"$13,000",feb-20,2020,No
1774,1493,Visa,Debit,4.07952E+15,abr-23,72,YES,2,"$22,701",feb-20,2020,No
1470,1161,Mastercard,Credit,5.59712E+15,ago-24,934,NO,1,"$16,100",feb-20,2020,No
1471,1161,Mastercard,Debit,5.80837E+15,sep-23,138,YES,2,"$7,629",feb-20,2020,No
2691,217,Mastercard,Debit,5.5655E+15,mar-22,430,NO,1,"$16,538",abr-12,2012,No
174,217,Visa,Debit,4.07289E+15,dic-20,578,YES,2,"$22,746",ene-08,2010,No
1364,217,Mastercard,Debit,5.16193E+15,jul-16,743,YES,1,"$9,737",feb-16,2016,No
1266,217,Mastercard,Credit,5.35936E+15,jul-19,428,YES,1,"$6,500",feb-11,2014,No
1267,217,Mastercard,Debit,5.09351E+15,jun-20,889,YES,2,"$2,650",feb-11,2013,No
207,217,Visa,Credit,4.40979E+15,may-12,839,YES,2,"$8,200",ene-09,2011,No
5448,217,Amex,Credit,3.73326E+14,ene-22,204,YES,2,"$6,200",nov-06,2013,No
5449,1877,Amex,Credit,3.66837E+14,ene-21,803,YES,2,"$22,600",nov-06,2014,No
2107,1877,Mastercard,Debit,5.26026E+15,may-24,428,YES,2,"$6,940",mar-06,2009,No
2398,1877,Mastercard,Debit,5.91194E+15,mar-24,410,YES,2,"$23,408",abr-96,2008,No
5414,1877,Visa,Credit,4.22628E+15,sep-22,966,YES,2,"$9,700",nov-04,2007,No
3758,668,Mastercard,Debit,5.625E+15,jun-24,992,NO,2,"$10,538",jul-06,2006,No
4097,668,Mastercard,Debit,5.75221E+15,mar-23,385,YES,2,"$6,853",ago-01,2006,No
5778,668,Mastercard,Debit,5.47002E+15,oct-20,598,YES,2,$607,dic-02,2010,No
4318,668,Mastercard,Credit,5.7646E+15,ago-21,397,YES,1,$0,ago-10,2010,No
5015,668,Visa,Debit,4.37835E+15,jun-21,644,YES,2,"$8,253",oct-04,2011,No
750,533,Visa,Debit,4.4152E+15,sep-20,847,YES,2,"$8,492",ene-20,2020,No
242,203,Visa,Credit,4.71631E+15,jul-22,275,YES,1,"$9,100",ene-10,2010,No
3966,203,Mastercard,Credit,5.17541E+15,abr-22,497,NO,2,"$2,600",jul-11,2011,No
5375,203,Mastercard,Credit,5.07943E+15,may-24,813,NO,1,"$7,300",nov-02,2010,No
5166,1738,Visa,Credit,4.84159E+15,ago-20,207,YES,1,"$15,000",oct-09,2009,No
1472,1738,Mastercard,Credit,5.13334E+15,abr-24,497,YES,2,"$18,700",feb-20,2020,No
751,1738,Visa,Debit,4.04469E+15,may-21,579,YES,1,"$21,458",ene-20,2020,No
5623,1738,Visa,Credit,4.82518E+15,abr-20,635,NO,1,"$15,700",nov-10,2014,No
6099,713,Mastercard,Debit,5.53306E+15,ene-20,13,YES,2,"$20,765",dic-14,2014,No
1473,713,Mastercard,Debit,5.13781E+15,jun-22,170,NO,2,"$18,101",feb-20,2020,No
1775,713,Visa,Credit,4.40955E+15,nov-24,528,YES,1,"$8,400",feb-20,2020,No
447,713,Mastercard,Debit,5.16971E+15,mar-20,66,YES,1,"$1,737",ene-20,2020,No
1474,1631,Mastercard,Credit,5.78214E+15,feb-20,217,YES,2,"$20,900",feb-20,2020,No
1776,1631,Visa,Credit,4.4501E+15,nov-21,601,YES,1,"$23,700",feb-20,2020,No
448,1631,Mastercard,Credit,5.29808E+15,nov-21,989,YES,1,"$17,500",ene-20,2020,No
5978,1487,Visa,Debit,4.91189E+15,jun-24,769,YES,1,"$26,083",dic-09,2009,No
2978,1487,Visa,Debit,4.39401E+15,oct-22,943,YES,1,"$31,589",may-08,2008,No
4946,1487,Visa,Credit,4.98411E+15,jun-21,453,YES,2,"$24,200",oct-00,2013,No
1475,1265,Mastercard,Debit,5.65888E+15,feb-20,190,YES,2,"$18,321",feb-20,2020,No
5376,370,Mastercard,Debit,5.37713E+15,oct-22,94,YES,2,"$7,551",nov-02,2010,No
4127,370,Mastercard,Debit,5.60682E+15,jun-14,451,YES,1,"$15,377",ago-04,2011,No
5093,370,Visa,Debit,4.5017E+15,mar-23,324,YES,1,"$12,990",oct-07,2016,No
3490,370,Visa,Debit,4.0151E+15,feb-23,494,YES,1,"$8,509",jun-10,2010,No
5702,1014,Visa,Debit,4.4672E+15,nov-14,176,YES,1,"$96,907",nov-14,2014,No
2200,1014,Visa,Credit,4.08147E+15,jul-15,45,YES,1,"$43,900",mar-08,2013,No
5436,1014,Visa,Debit (Prepaid),4.8683E+15,oct-20,440,YES,2,$76,nov-05,2007,No
449,290,Mastercard,Debit,5.84371E+15,ene-20,533,YES,2,"$50,915",ene-20,2020,No
1777,290,Visa,Debit,4.05231E+15,dic-21,369,YES,2,"$31,767",feb-20,2020,No
3862,985,Visa,Credit,4.22989E+15,abr-24,82,YES,2,"$13,200",jul-08,2010,No
1268,985,Mastercard,Credit,5.93695E+15,oct-22,372,YES,2,"$16,000",feb-11,2012,No
752,985,Visa,Debit,4.74846E+15,jul-24,223,YES,2,"$18,132",ene-20,2020,No
2704,985,Visa,Credit,4.86279E+15,feb-19,466,YES,1,$300,abr-12,2012,No
2808,135,Mastercard,Debit,5.73684E+15,nov-22,714,YES,2,"$2,236",may-00,2015,No
4791,135,Visa,Debit,4.52885E+15,ago-19,451,YES,2,"$21,591",sep-10,2010,No
1476,307,Mastercard,Debit,5.9568E+15,abr-20,927,YES,2,"$11,521",feb-20,2020,No
753,307,Visa,Credit,4.94983E+15,jun-20,561,NO,1,"$8,600",ene-20,2020,No
4112,1783,Amex,Credit,3.23782E+14,mar-20,659,YES,1,"$9,800",ago-03,2010,No
1154,1783,Visa,Credit,4.17288E+15,mar-12,902,YES,2,"$11,300",feb-08,2009,No
2598,1783,Mastercard,Credit,5.15349E+15,oct-19,492,YES,1,"$8,400",abr-09,2011,No
10,1783,Mastercard,Debit,5.51321E+15,dic-23,789,YES,1,"$16,597",ene-99,2009,No
4655,1783,Amex,Credit,3.16139E+14,sep-20,876,YES,2,"$9,400",sep-08,2008,No
5908,1321,Visa,Debit,4.70994E+15,dic-08,122,YES,1,"$18,702",dic-07,2007,No
3357,1511,Visa,Debit,4.72544E+15,jun-22,675,YES,1,"$24,806",jun-07,2007,No
5502,1511,Visa,Debit,4.99299E+15,may-23,457,YES,1,"$19,856",nov-07,2011,No
1238,900,Visa,Debit (Prepaid),4.58025E+15,feb-21,397,YES,2,$68,feb-10,2010,No
3412,900,Amex,Credit,3.47103E+14,dic-22,791,YES,2,"$4,900",jun-09,2009,No
1477,953,Mastercard,Debit,5.77939E+15,feb-22,421,YES,1,"$13,390",feb-20,2020,No
1396,953,Amex,Credit,3.43259E+14,nov-24,210,YES,3,"$8,400",feb-20,2020,No
1297,233,Amex,Credit,3.74396E+14,mar-24,659,YES,2,"$13,700",feb-12,2012,No
3605,406,Discover,Credit,6.3088E+15,nov-24,205,YES,2,"$4,200",jun-16,2016,No
5167,1069,Visa,Debit,4.43983E+15,ago-20,424,YES,2,"$2,292",oct-09,2015,No
